acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alacritty-themes 5.1.0-1
alsa-card-profiles 1:0.3.57-1
alsa-lib 1.2.7.2-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
amd-ucode 20220815.8413c63-1
amdvlk 2022.Q3.3-1
anki-git r9532.2bbd1fca2-1
aom 3.4.0-1
appstream 0.15.5-1
appstream-glib 0.8.1-1
archlinux-keyring 20220831-1
argon2 20190702-4
asciidoc 10.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
attr 2.5.1-2
audacity 1:3.1.3-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.96-1
base 3-1
bash 5.1.016-1
bastet 0.43.2-6
bazel 5.3.0-1
berry-git git+b56304-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
bluez-libs 5.65-3
boost 1.79.0-1
boost-libs 1.79.0-1
brightnessctl 0.5.1-2
broadcom-wl-dkms 6.30.223.271-33
brotli 1.0.9-8
btop 1.2.9-1
btrfs-progs 5.19-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.82-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
calibre 6.4.0-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
cfitsio 1:4.1.0-1
chmlib 0.40-6
clang 14.0.6-2
cmake 3.24.1-1
compiler-rt 14.0.6-1
coreutils 9.1-1
cpu-x 4.4.0-1
cronie 1.6.1-1
cryptsetup 2.5.0-1
curl 7.85.0-1
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
diffutils 3.8-1
dkms 3.0.6-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-4
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
electron 20.0.3-1
exiv2 0.27.5-3
expat 2.4.8-1
fakeroot 1.29-1
feh 3.9.1-2
ffmpeg 2:5.1.1-3
fftw 3.3.10-3
file 5.42-2
filesystem 2021.12.07-1
findutils 4.9.0-1
fish 3.5.1-1
flac 1.3.4-3
flameshot 12.1.0-1
flatpak 1:1.14.0-1
flex 2.6.4-3
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gegl 0.4.38-1
geoclue 2.6.0-2
geocode-glib 3.26.4-1
gettext 0.21-2
ghostscript 9.56.1-1
giflib 5.2.1-2
gimp 2.10.32-1
git 2.37.3-1
glew 2.2.0-5
glfw-x11 3.3.8-1
glib-networking 1:2.72.2-1
glib2 2.72.3-3
glib2-docs 2.72.3-3
glibc 2.36-3
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop-4 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-keyring 1:42.1-1
gnupg 2.2.39-1
gnutls 3.7.7-3
go 2:1.19-1
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 5.0.1-1
grep 3.7-1
groff 1.22.4-7
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gstreamer 1.20.3-1
gtest 1.12.1-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.8.0-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.8.0-1
gts 0.7.6.121130-2
guile 2.2.7-2
gumbo-parser 0.10.1-2
gzip 1.12-1
harfbuzz 5.1.0-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
htop 3.2.1-1
hunspell 1.7.1-1
hwdata 0.361-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20220715-1
icu 71.1-1
ijs 0.35-4
imath 3.1.5-2
imlib2 1.9.1-1
iniparser 4.1-4
iproute2 5.19.0-1
iptables 1:1.8.8-2
iputils 20211215-1
iso-codes 4.11.0-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.16.1.u1-2
jq 1.6-4
jre11-openjdk 11.0.16.1.u1-2
jre11-openjdk-headless 11.0.16.1.u1-2
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-1
kbd 2.5.1-1
kcompletion 5.97.0-1
kconfig 5.97.0-1
kcoreaddons 5.97.0-1
kcrash 5.97.0-1
keyutils 1.6.3-1
kguiaddons 5.97.0-1
ki18n 5.97.0-1
kitemmodels 5.97.0-1
kitemviews 5.97.0-1
kitty-shell-integration 0.26.2-1
kitty-terminfo 0.26.2-1
kmod 30-1
krb5 1.19.3-3
krita 5.1.0-1
kwidgetsaddons 5.97.0-1
kwindowsystem 5.97.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
lcms2 2.13.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
less 1:608-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
